S;BKE022508SES00000004;BKE022508INV00000008;195000;BKE02;0;0;2;30LAV1BAC1BV060GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;196000;BKE02;0;0;2;30LAV1BAC1BV070GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;197000;BKE02;0;0;2;30LAV2BAC1BAV60GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;198000;BKE02;0;0;2;30LAV2BAC1BV100GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;199000;BKE02;0;0;2;30LAV2BAC1BV120GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;200000;BKE02;0;0;2;31DALLEISO40X40GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;201000;BKE02;0;0;2;32BT1MA2GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;202000;BKE02;0;0;2;32BT1_00A2A650GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;203000;BKE02;0;0;2;32BT1_00T2A530GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;204000;BKE02;0;0;2;32BTA1GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;205000;BKE02;0;0;2;32BTA20X15X50GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;206000;BKE02;0;0;2;32BTA2A650GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;207000;BKE02;11;0;1;32BTA2CS2GAM;BKE02;AM;UN;1395,53486;BKE2;CB2TV1302241413
S;BKE022508SES00000004;BKE022508INV00000008;208000;BKE02;8;0;1;32BTA2CS2GAM;BKE02;AM;UN;1395,53486;BKE2;CB2TV1402241478
S;BKE022508SES00000004;BKE022508INV00000008;209000;BKE02;876;0;1;32BTA2CS2GAM;BKE02;AM;UN;1395,53486;BKE2;LOT070724
S;BKE022508SES00000004;BKE022508INV00000008;210000;BKE02;660;0;1;32BTA2CS2GAM;BKE02;AM;UN;1395,53486;BKE2;LOT060425
S;BKE022508SES00000004;BKE022508INV00000008;211000;BKE02;0;0;2;32BTA2CS3GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;212000;BKE02;0;0;2;32BTA2DIFFGAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;213000;BKE02;0;0;2;32BTA2GAM;;A;UN;743;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;214000;BKE02;0;0;2;32BTA2L100GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;215000;BKE02;0;0;2;32BTAR06GAM;;A;UN;195,73;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;216000;BKE02;0;0;2;32BTAR08GAM;;A;UN;0;BKE2;
